month_year,country,value
2021-12,Cambodia,1.0
2021-12,Indonesia,17.0
2021-12,Malaysia,12.0
2021-12,Myanmar,1.0
2021-12,Philippines,8.0
2021-12,Singapore,31.0
2021-12,Thailand,71.0
2021-12,Vietnam,58.0
2022-01,Cambodia,2.0
2022-01,Indonesia,12.0
2022-01,Malaysia,13.0
2022-01,Myanmar,1.0
2022-01,Philippines,11.0
2022-01,Singapore,31.0
2022-01,Thailand,19.0
2022-01,Vietnam,7.0
2022-02,Cambodia,2.0
2022-02,Indonesia,11.0
2022-02,Malaysia,13.0
2022-02,Myanmar,1.0
2022-02,Philippines,12.000000000000002
2022-02,Singapore,35.0
2022-02,Thailand,18.0
2022-02,Vietnam,6.000000000000001
2022-03,Cambodia,2.0
2022-03,Indonesia,13.0
2022-03,Malaysia,15.0
2022-03,Myanmar,1.0
2022-03,Philippines,14.0
2022-03,Singapore,42.0
2022-03,Thailand,19.0
2022-03,Vietnam,7.0
2022-04,Cambodia,2.0
2022-04,Indonesia,14.000000000000002
2022-04,Malaysia,18.0
2022-04,Myanmar,1.0
2022-04,Philippines,14.000000000000002
2022-04,Singapore,49.0
2022-04,Thailand,20.0
2022-04,Vietnam,10.0
2022-05,Cambodia,1.9999999999999998
2022-05,Indonesia,18.0
2022-05,Malaysia,18.0
2022-05,Myanmar,0.9999999999999999
2022-05,Philippines,14.0
2022-05,Singapore,50.99999999999999
2022-05,Thailand,21.0
2022-05,Vietnam,12.0
2022-06,Cambodia,2.0
2022-06,Indonesia,18.0
2022-06,Malaysia,31.0
2022-06,Myanmar,1.0
2022-06,Philippines,13.0
2022-06,Singapore,54.0
2022-06,Thailand,23.0
2022-06,Vietnam,14.999999999999998
2022-07,Cambodia,2.0
2022-07,Indonesia,17.0
2022-07,Malaysia,20.0
2022-07,Myanmar,2.0
2022-07,Philippines,13.0
2022-07,Singapore,53.0
2022-07,Thailand,24.0
2022-07,Vietnam,13.0
2022-08,Cambodia,2.0
2022-08,Indonesia,19.0
2022-08,Malaysia,18.0
2022-08,Myanmar,1.0
2022-08,Philippines,13.0
2022-08,Singapore,53.99999999999999
2022-08,Thailand,24.0
2022-08,Vietnam,15.0
2022-09,Cambodia,2.0
2022-09,Indonesia,16.0
2022-09,Malaysia,19.0
2022-09,Myanmar,1.0
2022-09,Philippines,12.0
2022-09,Singapore,51.0
2022-09,Thailand,21.0
2022-09,Vietnam,11.0
2022-10,Cambodia,2.0
2022-10,Indonesia,16.0
2022-10,Malaysia,19.0
2022-10,Myanmar,1.0
2022-10,Philippines,12.0
2022-10,Singapore,54.0
2022-10,Thailand,23.0
2022-10,Vietnam,12.0
2022-11,Cambodia,2.0
2022-11,Indonesia,14.0
2022-11,Malaysia,20.0
2022-11,Myanmar,1.0
2022-11,Philippines,12.0
2022-11,Singapore,50.0
2022-11,Thailand,23.0
2022-11,Vietnam,12.0
2022-12,Cambodia,4.0
2022-12,Indonesia,18.0
2022-12,Malaysia,20.0
2022-12,Myanmar,1.0
2022-12,Philippines,12.0
2022-12,Singapore,48.0
2022-12,Thailand,22.0
2022-12,Vietnam,12.0
2023-01,Cambodia,3.9999999999999996
2023-01,Indonesia,21.0
2023-01,Malaysia,59.99999999999999
2023-01,Myanmar,6.999999999999999
2023-01,Philippines,17.0
2023-01,Singapore,58.99999999999999
2023-01,Thailand,66.0
2023-01,Vietnam,24.0
2023-02,Cambodia,3.0
2023-02,Indonesia,16.0
2023-02,Malaysia,19.0
2023-02,Myanmar,1.0
2023-02,Philippines,13.0
2023-02,Singapore,56.0
2023-02,Thailand,26.0
2023-02,Vietnam,14.0
2023-03,Cambodia,3.0
2023-03,Indonesia,16.0
2023-03,Malaysia,28.0
2023-03,Myanmar,1.0
2023-03,Philippines,14.0
2023-03,Singapore,53.0
2023-03,Thailand,26.000000000000004
2023-03,Vietnam,14.0
2023-04,Cambodia,2.0
2023-04,Indonesia,16.0
2023-04,Malaysia,17.0
2023-04,Myanmar,1.0
2023-04,Philippines,13.0
2023-04,Singapore,51.0
2023-04,Thailand,25.0
2023-04,Vietnam,13.0
2023-05,Cambodia,4.0
2023-05,Indonesia,20.0
2023-05,Malaysia,22.0
2023-05,Myanmar,4.0
2023-05,Philippines,13.0
2023-05,Singapore,50.0
2023-05,Thailand,24.0
2023-05,Vietnam,19.0
2023-06,Cambodia,2.0
2023-06,Indonesia,20.0
2023-06,Malaysia,18.0
2023-06,Myanmar,1.0
2023-06,Philippines,13.0
2023-06,Singapore,55.0
2023-06,Thailand,22.0
2023-06,Vietnam,13.0
2023-07,Cambodia,2.0
2023-07,Indonesia,17.0
2023-07,Malaysia,19.0
2023-07,Myanmar,1.0
2023-07,Philippines,13.0
2023-07,Singapore,60.0
2023-07,Thailand,24.0
2023-07,Vietnam,14.0
2023-08,Cambodia,2.0
2023-08,Indonesia,16.0
2023-08,Malaysia,18.0
2023-08,Myanmar,1.0
2023-08,Philippines,12.0
2023-08,Singapore,50.0
2023-08,Thailand,24.0
2023-08,Vietnam,13.999999999999998
2023-09,Cambodia,3.0
2023-09,Indonesia,16.0
2023-09,Malaysia,21.0
2023-09,Myanmar,1.0
2023-09,Philippines,13.000000000000002
2023-09,Singapore,50.0
2023-09,Thailand,24.0
2023-09,Vietnam,13.999999999999998
2023-10,Cambodia,3.0
2023-10,Indonesia,15.0
2023-10,Malaysia,19.0
2023-10,Myanmar,1.0
2023-10,Philippines,11.0
2023-10,Singapore,47.0
2023-10,Thailand,23.0
2023-10,Vietnam,13.0
2023-11,Cambodia,3.0
2023-11,Indonesia,16.0
2023-11,Malaysia,17.0
2023-11,Myanmar,1.0
2023-11,Philippines,13.0
2023-11,Singapore,51.0
2023-11,Thailand,25.0
2023-11,Vietnam,15.000000000000002
2023-12,Cambodia,3.0
2023-12,Indonesia,16.0
2023-12,Malaysia,21.0
2023-12,Myanmar,1.0
2023-12,Philippines,12.0
2023-12,Singapore,49.0
2023-12,Thailand,24.0
2023-12,Vietnam,15.0
2024-01,Cambodia,3.0
2024-01,Indonesia,17.0
2024-01,Malaysia,21.0
2024-01,Myanmar,0.9999999999999999
2024-01,Philippines,15.0
2024-01,Singapore,51.0
2024-01,Thailand,31.0
2024-01,Vietnam,18.0
2024-02,Cambodia,3.0
2024-02,Indonesia,15.0
2024-02,Malaysia,18.0
2024-02,Myanmar,0.9999999999999999
2024-02,Philippines,14.0
2024-02,Singapore,49.0
2024-02,Thailand,27.0
2024-02,Vietnam,15.0
2024-03,Cambodia,3.0
2024-03,Indonesia,16.0
2024-03,Malaysia,34.0
2024-03,Myanmar,1.0
2024-03,Philippines,13.0
2024-03,Singapore,56.00000000000001
2024-03,Thailand,26.0
2024-03,Vietnam,17.0
2024-04,Cambodia,3.0
2024-04,Indonesia,15.000000000000002
2024-04,Malaysia,16.0
2024-04,Myanmar,1.0
2024-04,Philippines,13.000000000000002
2024-04,Singapore,49.0
2024-04,Thailand,25.0
2024-04,Vietnam,16.0
2024-05,Cambodia,3.0
2024-05,Indonesia,16.0
2024-05,Malaysia,20.0
2024-05,Myanmar,1.0
2024-05,Philippines,12.0
2024-05,Singapore,51.0
2024-05,Thailand,25.0
2024-05,Vietnam,14.0
2024-06,Cambodia,3.0
2024-06,Indonesia,17.0
2024-06,Malaysia,21.0
2024-06,Myanmar,1.0
2024-06,Philippines,13.0
2024-06,Singapore,52.0
2024-06,Thailand,23.0
2024-06,Vietnam,15.0
2024-07,Cambodia,1.9999999999999998
2024-07,Indonesia,14.999999999999998
2024-07,Malaysia,20.0
2024-07,Myanmar,0.9999999999999999
2024-07,Philippines,13.0
2024-07,Singapore,52.0
2024-07,Thailand,27.0
2024-07,Vietnam,14.999999999999998
2024-08,Cambodia,3.0
2024-08,Indonesia,16.0
2024-08,Malaysia,19.0
2024-08,Myanmar,1.0
2024-08,Philippines,12.0
2024-08,Singapore,50.0
2024-08,Thailand,24.0
2024-08,Vietnam,16.0
2024-09,Cambodia,3.0
2024-09,Indonesia,18.0
2024-09,Malaysia,22.0
2024-09,Myanmar,1.0
2024-09,Philippines,13.0
2024-09,Singapore,51.0
2024-09,Thailand,26.0
2024-09,Vietnam,17.0
2024-10,Cambodia,3.0
2024-10,Indonesia,14.999999999999998
2024-10,Malaysia,18.0
2024-10,Myanmar,1.0
2024-10,Philippines,12.0
2024-10,Singapore,51.0
2024-10,Thailand,25.0
2024-10,Vietnam,16.0
2024-11,Cambodia,3.0
2024-11,Indonesia,14.0
2024-11,Malaysia,18.0
2024-11,Myanmar,1.0
2024-11,Philippines,12.0
2024-11,Singapore,51.0
2024-11,Thailand,28.0
2024-11,Vietnam,17.0
2024-12,Cambodia,3.0
2024-12,Indonesia,14.0
2024-12,Malaysia,19.0
2024-12,Myanmar,0.9999999999999999
2024-12,Philippines,12.0
2024-12,Singapore,54.0
2024-12,Thailand,29.0
2024-12,Vietnam,17.0
2025-01,Cambodia,3.0
2025-01,Indonesia,15.0
2025-01,Malaysia,20.0
2025-01,Myanmar,1.0
2025-01,Philippines,15.0
2025-01,Singapore,60.0
2025-01,Thailand,67.0
2025-01,Vietnam,54.0
2025-02,Cambodia,3.0
2025-02,Indonesia,13.0
2025-02,Malaysia,18.0
2025-02,Myanmar,0.9999999999999999
2025-02,Philippines,13.0
2025-02,Singapore,48.0
2025-02,Thailand,30.000000000000004
2025-02,Vietnam,18.0
2025-03,Cambodia,3.0
2025-03,Indonesia,15.0
2025-03,Malaysia,18.0
2025-03,Myanmar,1.0
2025-03,Philippines,13.0
2025-03,Singapore,51.0
2025-03,Thailand,30.0
2025-03,Vietnam,19.0
